mod_type,model,predicted_abundance,MAPE,RMSE,Lo 95,Lo 50,Hi 50,Hi 95,coef_intercept,coef_log_lag_jack,coef_log_cum_cnt,coef_cnt_by_flow,covar_intercept,covar_log_lag_jack,covar_log_cum_cnt,covar_cnt_by_flow,effect_intercept,effect_log_lag_jack,effect_log_cum_cnt,effect_cnt_by_flow,year,MSA,MASE,coef_ar1,coef_ar2,coef_ar3,coef_ma1,logit_p,logit_p_sd,coef_cfs_mean_ema,coef_cfs_mean_ema_sd,date,ecotype,coef_ma2,coef_drift,coef_ma3,coef_ar4
DLM,PenDlm,90149.084,37.593,49105.237,40936.244,68702.718,118290.188,198524.746,-0.69,1.119,0.043,0.078,1,1.076,2.099,0.008,-0.69,1.204,0.09,0.001,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2024-08-29,Tule,NA,NA,NA,NA
ARIMA,MSA_weighted,94109.009,31.608,26192.709,45448.659,72625.8,123260.41,213216.524,2.951,0.568,0.018,0.054,NA,1.076,2.149,-0.191,NA,0.611,0.038,-0.01,2024,31.057,0.778,0.037,NA,NA,NA,NA,NA,NA,NA,2024-08-29,Tule,NA,NA,NA,NA
Joint_Lik,NA,114924.949,NA,NA,73886.246,96831.835,139021.361,209286.368,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.54,0.425,-0.301,NA,2024-08-29,Tule,NA,NA,NA,NA
DLM,PenDlm,87576.222,35.934,37661.661,42941.979,68529.156,111917.25,178603.66,-0.694,1.104,0.036,0.096,1,1.076,1.901,0.019,-0.694,1.188,0.068,0.002,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2024-08-30,Tule,NA,NA,NA,NA
ARIMA,MSA_weighted,94512.295,31.168,24753.752,45683.493,72992.467,123621.954,212900.544,2.962,0.567,0.024,0.052,NA,1.076,1.95,-0.187,NA,0.61,0.047,-0.01,2024,30.795,0.751,0.036,NA,NA,NA,NA,NA,NA,NA,2024-08-30,Tule,NA,NA,NA,NA
Joint_Lik,NA,113321.705,NA,NA,75416.116,96549.648,135762.586,201661.826,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.347,0.432,-0.274,0.147,2024-08-30,Tule,NA,NA,NA,NA
DLM,PenDlm,90796.867,29.806,26151.563,47543.459,72673.509,113439.837,173400.743,-0.703,1.079,0.088,0.106,1,1.076,1.791,-0.013,-0.703,1.162,0.157,-0.001,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2024-08-31,Tule,NA,NA,NA,NA
ARIMA,MSA_weighted,95456.255,30.695,23398.904,45856.342,73604.307,124953.742,214873.169,3.066,0.558,0.038,0.054,NA,1.076,1.838,-0.217,NA,0.601,0.07,-0.012,2024,30.41,0.73,0.038,NA,NA,NA,NA,NA,NA,NA,2024-08-31,Tule,NA,NA,NA,NA
Joint_Lik,NA,113776.755,NA,NA,76876.189,97253.484,136229.851,203733.628,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.2,0.455,-0.227,0.204,2024-08-31,Tule,NA,NA,NA,NA
DLM,PenDlm,87459.576,28.565,26202.943,46386.195,70311.527,108789.808,164902.025,-0.681,1.073,0.059,0.122,1,1.076,1.689,-0.096,-0.681,1.155,0.1,-0.012,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2024-09-01,Tule,NA,NA,NA,NA
ARIMA,MSA_weighted,96707.668,31.101,22565.932,46423.608,74625.533,126325.172,215393.839,3.192,0.544,0.06,0.057,NA,1.076,1.735,-0.285,NA,0.586,0.104,-0.016,2024,30.88,0.727,0.039,NA,NA,NA,NA,NA,NA,NA,2024-09-01,Tule,NA,NA,NA,NA
Joint_Lik,NA,111563.326,NA,NA,77571.94,96215.332,132648.679,197103.495,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.022,0.471,-0.206,0.17,2024-09-01,Tule,NA,NA,NA,NA
DLM,PenDlm,377535.966,30.941,235606.761,139613.262,268090.644,531661.244,1020915.944,0.001,0.506,0.345,0,1,0.041,0.885,-0.588,0.001,0.021,0.305,-0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2024-08-15,Bright,NA,NA,NA,NA
ARIMA,MSA_weighted,364521.226,22.984,180227.491,194705.446,293628.583,452758.681,685364.341,12.68,0.179,0.123,-0.004,NA,0.041,0.924,-0.7,NA,0.007,0.114,0.003,2024,28.091,0.791,0.073,NA,NA,0.157,NA,NA,NA,NA,2024-08-15,Bright,NA,NA,NA,NA
Joint_Lik,NA,345217.438,NA,NA,239317.33,304118.543,392106.089,500534.829,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-3.292,0.195,-0.038,0.067,2024-08-15,Bright,NA,NA,NA,NA
DLM,PenDlm,369204.577,33.474,228185.259,138133.951,263228.826,517846.097,986810.402,-0.05,-0.085,0.308,-0.001,1,0.041,1.076,-0.534,-0.05,-0.003,0.331,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2024-08-16,Bright,NA,NA,NA,NA
ARIMA,MSA_weighted,359328.606,22.535,182170.46,192301.217,289611.961,446093.069,674813.72,12.671,0.176,0.113,-0.002,NA,0.041,1.115,-0.65,NA,0.007,0.126,0.002,2024,27.665,0.786,0.308,NA,NA,NA,NA,NA,NA,NA,2024-08-16,Bright,NA,NA,NA,NA
Joint_Lik,NA,353137.893,NA,NA,244253.111,310811.607,401517.484,513705.347,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-3.126,0.198,-0.029,0.069,2024-08-16,Bright,NA,NA,NA,NA
DLM,PenDlm,392494.913,31.297,217828.852,159659.216,288006.051,534892.432,964881.708,0,0.501,0.314,0,1,0.041,1.232,-0.49,0,0.02,0.388,-0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2024-08-17,Bright,NA,NA,NA,NA
ARIMA,MSA_weighted,370936.894,21.508,186827.693,198286.04,298844.199,460702.84,697511.661,12.671,0.176,0.112,-0.006,NA,0.041,1.271,-0.604,NA,0.007,0.143,0.003,2024,26.601,0.778,0.317,NA,NA,NA,NA,NA,NA,NA,2024-08-17,Bright,NA,NA,NA,NA
Joint_Lik,NA,371683.458,NA,NA,231851.068,315459.947,438527.327,602870.576,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-2.989,0.257,-0.012,0.078,2024-08-17,Bright,NA,NA,NA,NA
DLM,PenDlm,394841.277,24.961,199041.091,178607.62,300511.23,518781.39,872861.045,0.001,0.447,0.278,0,1,0.041,1.443,-0.477,0.001,0.018,0.402,-0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2024-08-18,Bright,NA,NA,NA,NA
ARIMA,MSA_weighted,386433.273,22.1,193093.209,204022.486,310003.305,481997.326,735668.972,12.674,0.178,0.108,-0.005,NA,0.041,1.484,-0.585,NA,0.007,0.161,0.003,2024,28.027,0.811,0.308,NA,NA,NA,NA,NA,NA,NA,2024-08-18,Bright,NA,NA,NA,NA
Joint_Lik,NA,393899.983,NA,NA,251803.928,337100.357,460963.546,624157.142,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-2.791,0.246,-0.037,0.083,2024-08-18,Bright,NA,NA,NA,NA
DLM,PenDlm,403152.622,30.25,260489.891,173121.228,301391.774,539271.642,938833.666,0.001,0.46,0.294,0,1,0.041,1.517,-0.446,0.001,0.019,0.445,-0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2024-08-19,Bright,NA,NA,NA,NA
ARIMA,MSA_weighted,386541.334,23.55,199476.059,200212.781,308075.801,485250.689,749647.767,12.678,0.187,0.089,-0.001,NA,0.041,1.56,-0.55,NA,0.008,0.139,0,2024,29.881,0.845,0.227,NA,NA,NA,NA,NA,NA,NA,2024-08-19,Bright,NA,NA,NA,NA
Joint_Lik,NA,397339.567,NA,NA,249808.824,337893.56,468193.905,643056.582,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-2.574,0.26,-0.073,0.085,2024-08-19,Bright,NA,NA,NA,NA
DLM,PenDlm,406958.163,32.794,293056.374,190526.918,313419.162,528413.596,869246.97,0.001,0.469,0.28,0,1,0.041,1.659,-0.433,0.001,0.019,0.465,-0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2024-08-20,Bright,NA,NA,NA,NA
ARIMA,MSA_weighted,387568.548,23.921,196972.898,199568.383,308259.798,487559.037,756293.447,12.679,0.189,0.081,0.003,NA,0.041,1.705,-0.537,NA,0.008,0.138,-0.001,2024,30.335,0.847,0.229,NA,NA,NA,NA,NA,NA,NA,2024-08-20,Bright,NA,NA,NA,NA
Joint_Lik,NA,403901.768,NA,NA,251602.674,342167.861,478005.1,662825.327,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-2.385,0.271,-0.1,0.086,2024-08-20,Bright,NA,NA,NA,NA
DLM,PenDlm,395266.656,36.32,338489.58,177481.626,300069.751,520664.708,880292.417,0.105,0.214,0.185,0.044,1,0.041,1.768,-0.42,0.105,0.009,0.327,-0.018,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2024-08-21,Bright,NA,NA,NA,NA
ARIMA,RMSE_weighted,385543.502,24.369,207062.336,197807.177,306255.999,485651.992,755308.207,12.68,0.19,0.075,0.007,NA,0.041,1.815,-0.525,NA,0.008,0.136,-0.004,2024,31.385,0.881,0.226,NA,NA,NA,NA,NA,NA,NA,2024-08-21,Bright,NA,NA,NA,NA
Joint_Lik,NA,416962.654,NA,NA,259112.654,352763.479,494334.272,688462.738,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-2.247,0.277,-0.119,0.08,2024-08-21,Bright,NA,NA,NA,NA
DLM,PenDlm,458523.819,33.042,201822.621,209345.42,350094.186,600535.802,1004292.773,-0.001,0.009,0.419,0.061,1,0.041,1.825,-0.435,-0.001,0,0.765,-0.026,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2024-08-22,Bright,NA,NA,NA,NA
ARIMA,RMSE_weighted,379962.517,25.293,207541.537,194212.888,301444.417,479203.239,746921.744,12.679,0.191,0.07,0.01,NA,0.041,1.873,-0.539,NA,0.008,0.13,-0.005,2024,32.681,0.898,0.232,NA,NA,NA,NA,NA,NA,NA,2024-08-22,Bright,NA,NA,NA,NA
Joint_Lik,NA,411333.535,NA,NA,257517.146,348719.821,486873.682,676704.526,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-2.086,0.278,-0.106,0.087,2024-08-22,Bright,NA,NA,NA,NA
DLM,PenDlm,402699.991,29.814,176438.917,195665.888,314128.411,516245.194,828796.907,-0.009,0.097,0.284,0.083,1,0.041,1.8,-0.523,-0.009,0.004,0.511,-0.043,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2024-08-23,Bright,NA,NA,NA,NA
ARIMA,RMSE_weighted,372929.324,26.356,210637.261,190116.837,295609.88,470716.268,734737.418,12.678,0.193,0.064,0.011,NA,0.041,1.845,-0.625,NA,0.008,0.117,-0.007,2024,34.542,0.927,0.238,NA,NA,NA,NA,NA,NA,NA,2024-08-23,Bright,NA,NA,NA,NA
Joint_Lik,NA,399054.23,NA,NA,253895.597,340107.875,469964.49,647392.264,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1.951,0.274,-0.089,0.088,2024-08-23,Bright,NA,NA,NA,NA
DLM,PenDlm,391439.627,33.027,202806.61,171441.095,294629.129,520060.53,893747.101,0.004,0.581,0.238,0.003,1,0.041,1.586,-0.606,0.004,0.024,0.377,-0.002,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2024-08-24,Bright,NA,NA,NA,NA
ARIMA,RMSE_weighted,363292.371,27.01,211336.533,184598.675,287643.318,459080.097,718169.112,12.677,0.196,0.054,0.014,NA,0.041,1.629,-0.71,NA,0.008,0.087,-0.01,2024,35.524,0.944,0.241,NA,NA,NA,NA,NA,NA,NA,2024-08-24,Bright,NA,NA,NA,NA
Joint_Lik,NA,370830.238,NA,NA,252993.763,324021.926,425692.479,557743.238,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1.814,0.235,-0.071,0.093,2024-08-24,Bright,NA,NA,NA,NA
DLM,PenDlm,375947.392,30.839,201771.306,166445.805,284023.253,497622.784,849143.911,0.002,0.617,0.213,0.018,1,0.041,1.419,-0.672,0.002,0.025,0.302,-0.012,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2024-08-25,Bright,NA,NA,NA,NA
ARIMA,MSA_weighted,356421.309,27.341,212692.286,181123.906,282201.306,450418.328,704761.676,12.679,0.204,0.046,0.017,NA,0.041,1.46,-0.773,NA,0.008,0.068,-0.013,2024,36.066,0.954,0.226,NA,NA,NA,NA,NA,NA,NA,2024-08-25,Bright,NA,NA,NA,NA
Joint_Lik,NA,357964.073,NA,NA,244387.497,312672.548,411290.415,540515.628,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1.656,0.242,-0.082,0.105,2024-08-25,Bright,NA,NA,NA,NA
DLM,PenDlm,351205.239,33.475,204838.761,149506.727,261771.097,471194.572,825013.845,0.001,0.608,0.147,0.057,1,0.041,1.264,-0.705,0.001,0.025,0.186,-0.04,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2024-08-26,Bright,NA,NA,NA,NA
ARIMA,MSA_weighted,353489.135,27.577,210381.285,180374.473,280284.814,446053.175,695908.97,12.679,0.202,0.053,0.02,NA,0.041,1.304,-0.803,NA,0.008,0.069,-0.016,2024,35.992,0.955,0.224,NA,NA,NA,NA,NA,NA,NA,2024-08-26,Bright,NA,NA,NA,NA
Joint_Lik,NA,348218.832,NA,NA,240361.813,305253.44,398743.858,520955.495,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1.548,0.24,-0.11,0.103,2024-08-26,Bright,NA,NA,NA,NA
DLM,PenDlm,334433.093,35.399,207015.596,140508.517,248145.387,450725.66,796005.079,0.001,0.565,0.095,0.105,1,0.041,1.256,-0.717,0.001,0.023,0.12,-0.075,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2024-08-27,Bright,NA,NA,NA,NA
ARIMA,MSA_weighted,352722.684,26.853,207013.664,181353.425,280427.885,443861.687,688726.426,12.679,0.2,0.063,0.026,NA,0.041,1.296,-0.806,NA,0.008,0.082,-0.021,2024,34.369,0.936,0.22,NA,NA,NA,NA,NA,NA,NA,2024-08-27,Bright,NA,NA,NA,NA
Joint_Lik,NA,346959.418,NA,NA,242817.54,305471.813,395749.623,513775.735,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1.379,0.24,-0.132,0.095,2024-08-27,Bright,NA,NA,NA,NA
DLM,PenDlm,305387.368,34.562,211938.168,125059.456,224604.54,415225.109,745736.85,0.161,0.526,-0.129,0.188,1,0.041,1.375,-0.689,0.161,0.021,-0.177,-0.13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2024-08-28,Bright,NA,NA,NA,NA
ARIMA,MSA_weighted,366286.799,25.989,199219.207,190320.587,292276.708,459239.441,707567.83,12.686,0.19,0.093,0.046,NA,0.041,1.417,-0.78,NA,0.008,0.131,-0.036,2024,33.011,0.905,0.147,NA,NA,NA,NA,NA,NA,NA,2024-08-28,Bright,NA,NA,NA,NA
Joint_Lik,NA,363442.675,NA,NA,258139.969,321464.365,412848.967,532506.033,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1.198,0.242,-0.147,0.086,2024-08-28,Bright,NA,NA,NA,NA
DLM,PenDlm,337897.829,31.733,210309.011,136865.906,247580.425,461163.044,834210.254,0,0.449,0.137,0.164,1,0.041,1.342,-0.68,0,0.018,0.183,-0.111,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2024-08-29,Bright,NA,NA,NA,NA
ARIMA,RMSE_weighted,377647.186,24.242,191422.243,198782.887,302686.953,471382.682,720176.248,12.687,0.173,0.114,0.046,NA,0.041,1.383,-0.77,NA,0.007,0.158,-0.036,2024,30.758,0.855,0.146,NA,NA,NA,NA,NA,NA,NA,2024-08-29,Bright,NA,NA,NA,NA
Joint_Lik,NA,373141.261,NA,NA,267440.581,330895.29,423013.704,544346.769,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1.048,0.246,-0.143,0.083,2024-08-29,Bright,NA,NA,NA,NA
DLM,PenDlm,392665.001,30.384,206751.376,161140.078,289004.664,533506.281,956843.298,0,0.509,0.319,0.001,1,0.041,1.221,-0.658,0,0.021,0.389,-0.001,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2024-08-30,Bright,NA,NA,NA,NA
ARIMA,RMSE_weighted,376843.466,23.515,191190.646,199774.193,302782.964,469228.974,713548.592,12.687,0.169,0.125,0.042,NA,0.041,1.262,-0.75,NA,0.007,0.157,-0.032,2024,29.983,0.844,0.142,NA,NA,NA,NA,NA,NA,NA,2024-08-30,Bright,NA,NA,NA,NA
Joint_Lik,NA,369019.42,NA,NA,266820.792,328090.672,417451.669,535698.249,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.924,0.25,-0.136,0.082,2024-08-30,Bright,NA,NA,NA,NA
DLM,PenDlm,364407.238,31.394,208023.264,147566.829,266981.204,497385.708,899881.337,-0.066,0.06,0.298,0.022,1,0.041,1.101,-0.646,-0.066,0.002,0.328,-0.014,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2024-08-31,Bright,NA,NA,NA,NA
ARIMA,RMSE_weighted,373797.301,23.339,189173.524,198648.543,300584.299,465060.766,706166.705,12.687,0.17,0.126,0.039,NA,0.041,1.14,-0.743,NA,0.007,0.143,-0.029,2024,29.507,0.835,0.138,NA,NA,NA,NA,NA,NA,NA,2024-08-31,Bright,NA,NA,NA,NA
Joint_Lik,NA,364015.74,NA,NA,264821.753,324115.997,411474.904,528241.343,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.791,0.257,-0.123,0.084,2024-08-31,Bright,NA,NA,NA,NA
DLM,PenDlm,391757.499,33.781,224298.76,138380.075,273834.536,560462.317,1109075.411,0,0.483,0.363,0.001,1,0.041,1.06,-0.674,0,0.02,0.385,-0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2024-09-01,Bright,NA,NA,NA,NA
ARIMA,RMSE_weighted,383112.476,22.866,182872.618,203824.232,308186.802,476485.229,723066.088,12.69,0.166,0.148,0.038,NA,0.041,1.099,-0.762,NA,0.007,0.163,-0.029,2024,28.679,0.818,0.064,NA,NA,NA,NA,NA,NA,NA,2024-09-01,Bright,NA,NA,NA,NA
Joint_Lik,NA,361265.725,NA,NA,265959.478,322801.8,407197.94,520874.565,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.64,0.263,-0.136,0.083,2024-09-01,Bright,NA,NA,NA,NA
